issue_link,manual_label,model_label
https://github.com/keycloak/keycloak/issues/33953,False,True
https://github.com/keycloak/keycloak/issues/35758,False,True
https://github.com/keycloak/keycloak/issues/35457,False,True
https://github.com/quarkusio/quarkus/issues/38683,False,True
https://github.com/spring-projects/spring-batch/issues/4479,True,False
https://github.com/spring-projects/spring-data-mongodb/issues/4818,False,True
https://github.com/dylibso/chicory/issues/695,False,True
https://github.com/spring-projects/spring-data-commons/issues/3126,False,True
https://github.com/apache/uniffle/issues/2576,False,True
https://github.com/apache/uniffle/issues/2441,False,True
https://github.com/apache/uniffle/issues/1885,False,True
https://github.com/apache/uniffle/issues/1543,False,True
https://github.com/langchain4j/langchain4j/issues/2053,False,True
https://github.com/netty/netty/issues/13313,True,False
https://github.com/keycloak/keycloak/issues/16091,False,True
https://github.com/OpenAPITools/openapi-generator/issues/16490,True,False
https://github.com/spring-projects/spring-data-neo4j/issues/2750,False,True
https://github.com/spring-projects/spring-data-neo4j/issues/2182,True,False
https://github.com/spring-projects/spring-data-neo4j/issues/1460,False,True
https://github.com/smallrye/smallrye-graphql/issues/728,False,True
https://github.com/philterd/phileas/issues/112,False,True
https://github.com/philterd/phileas/issues/112,False,True
https://github.com/philterd/phileas/issues/112,False,True
https://github.com/spring-io/spring-javaformat/issues/319,False,True
https://github.com/OpenLiberty/ci.maven/issues/1354,True,False
https://github.com/oracle/opengrok/issues/3509,True,False
https://github.com/cloudsimplus/cloudsimplus/issues/323,True,False
https://github.com/apache/curator/issues/585,True,False
https://github.com/apache/incubator-baremaps/issues/98,True,False
https://github.com/spring-projects-experimental/spring-boot-thin-launcher/issues/22,False,True
https://github.com/keycloak/keycloak/issues/10266,True,False
https://github.com/netty/netty/issues/8122,False,True
https://github.com/keycloak/keycloak/issues/12381,False,True
https://github.com/quarkusio/quarkus/issues/23822,False,True
https://github.com/quarkusio/quarkus/issues/9188,False,True
https://github.com/oracle/opengrok/issues/3442,True,False
https://github.com/oracle/opengrok/issues/1095,True,False
https://github.com/gluonhq/rich-text-area/issues/414,True,False
https://github.com/rabbitmq/rabbitmq-stream-java-client/issues/17,False,True
https://github.com/zowe/zowe-client-java-sdk/issues/148,False,True
https://github.com/flyway/flyway/issues/3280,True,False
https://github.com/flyway/flyway/issues/3229,False,True
https://github.com/AsyncHttpClient/async-http-client/issues/1632,False,True
https://github.com/AsyncHttpClient/async-http-client/issues/1278,False,True
https://github.com/AsyncHttpClient/async-http-client/issues/894,False,True
https://github.com/spring-projects/spring-data-mongodb/issues/2225,True,False
https://github.com/spring-projects/spring-data-mongodb/issues/1536,True,False
https://github.com/spring-projects/spring-data-elasticsearch/issues/2726,False,True
https://github.com/spring-projects/spring-data-elasticsearch/issues/2061,True,False
https://github.com/dockstore/dockstore/issues/2442,False,True
https://github.com/Netcentric/accesscontroltool/issues/762,True,False
https://github.com/logfellow/logstash-logback-encoder/issues/353,False,True
https://github.com/groovy/GMavenPlus/issues/162,True,False
https://github.com/DataLinkDC/dinky/issues/1279,True,False
https://github.com/DataLinkDC/dinky/issues/1210,True,False
https://github.com/DataLinkDC/dinky/issues/564,True,False
https://github.com/DataLinkDC/dinky/issues/397,True,False
https://github.com/apache/royale-compiler/issues/36,False,True
https://github.com/spacious-team/investbook/issues/294,True,False
https://github.com/cloudsimplus/cloudsimplus/issues/284,True,False
https://github.com/VoxelGamesLib/VoxelGamesLibv2/issues/175,False,True
https://github.com/timols/java-gitlab-api/issues/59,True,False
https://github.com/alibaba/nacos/issues/11310,True,False
https://github.com/keycloak/keycloak/issues/10935,True,False
https://github.com/casid/jte/issues/78,False,True
https://github.com/hyperxpro/Brotli4j/issues/123,True,False
https://github.com/cmu-db/benchbase/issues/125,False,True
https://github.com/openlookeng/hetu-core/issues/198,False,True
https://github.com/apache/shardingsphere/issues/1892,True,False
https://github.com/keycloak/keycloak/issues/17711,True,False
https://github.com/apache/shardingsphere/issues/1688,True,False
https://github.com/apache/shardingsphere/issues/866,False,True
https://github.com/mybatis/mybatis-3/issues/1929,False,True
https://github.com/prestodb/presto/issues/11711,False,True
https://github.com/prestodb/presto/issues/3646,False,True
https://github.com/quarkusio/quarkus/issues/32021,True,False
https://github.com/quarkusio/quarkus/issues/49574,True,False
https://github.com/quarkusio/quarkus/issues/49118,True,False
https://github.com/quarkusio/quarkus/issues/46148,True,False
https://github.com/quarkusio/quarkus/issues/28267,True,False
https://github.com/quarkusio/quarkus/issues/27589,True,False
https://github.com/quarkusio/quarkus/issues/16596,False,True
https://github.com/quarkusio/quarkus/issues/13258,True,False
https://github.com/apache/pulsar/issues/18279,False,True
https://github.com/pinpoint-apm/pinpoint/issues/2394,False,True
https://github.com/trinodb/trino/issues/9743,True,False
https://github.com/trinodb/trino/issues/16577,True,False
https://github.com/apache/shiro/issues/1762,True,False
https://github.com/apache/maven-mvnd/issues/266,False,True
https://github.com/apache/maven-mvnd/issues/65,False,True
https://github.com/eclipse-xpanse/xpanse/issues/379,True,False
https://github.com/Netcentric/accesscontroltool/issues/663,False,True
https://github.com/Netcentric/accesscontroltool/issues/618,True,False
https://github.com/openhab/org.openhab.binding.zigbee/issues/338,True,False
https://github.com/DataLinkDC/dinky/issues/3274,True,False
https://github.com/apache/streampark/issues/3068,True,False
https://github.com/mapstruct/mapstruct/issues/1414,False,True
https://github.com/cryostatio/cryostat-legacy/issues/312,True,False
https://github.com/timols/java-gitlab-api/issues/237,True,False
