issue_url,manual_label,GPT_label,tie_breaking_label
https://github.com/netty/netty/issues/15751,True,True,
https://github.com/keycloak/keycloak/issues/43698,True,True,
https://github.com/keycloak/keycloak/issues/43362,True,True,
https://github.com/keycloak/keycloak/issues/43357,True,True,
https://github.com/keycloak/keycloak/issues/43365,True,True,
https://github.com/spring-projects/spring-batch/issues/4930,True,True,
https://github.com/spring-projects/spring-data-commons/issues/3375,True,True,
https://github.com/google/guava/issues/7143,True,True,
https://github.com/google/guava/issues/6845,True,True,
https://github.com/netty/netty/issues/15723,True,True,
https://github.com/netty/netty/issues/15723,True,True,
https://github.com/netty/netty/issues/15502,False,False,
https://github.com/netty/netty/issues/15510,True,True,
https://github.com/netty/netty/issues/15503,True,True,
https://github.com/netty/netty/issues/14876,False,False,
https://github.com/netty/netty/issues/14165,False,False,
https://github.com/netty/netty/issues/14268,True,True,
https://github.com/netty/netty/issues/13166,True,True,
https://github.com/keycloak/keycloak/issues/42922,True,True,
https://github.com/keycloak/keycloak/issues/42880,True,True,
https://github.com/keycloak/keycloak/issues/42882,True,True,
https://github.com/keycloak/keycloak/issues/42283,True,True,
https://github.com/keycloak/keycloak/issues/41532,True,True,
https://github.com/keycloak/keycloak/issues/40805,True,True,
https://github.com/keycloak/keycloak/issues/35932,True,True,
https://github.com/keycloak/keycloak/issues/39987,True,True,
https://github.com/keycloak/keycloak/issues/39665,True,True,
https://github.com/keycloak/keycloak/issues/39653,True,True,
https://github.com/keycloak/keycloak/issues/39253,True,True,
https://github.com/keycloak/keycloak/issues/38837,True,True,
https://github.com/keycloak/keycloak/issues/38552,False,False,
https://github.com/keycloak/keycloak/issues/34364,True,True,
https://github.com/keycloak/keycloak/issues/33953,False,True,True
https://github.com/keycloak/keycloak/issues/37062,True,True,
https://github.com/keycloak/keycloak/issues/35796,True,True,
https://github.com/keycloak/keycloak/issues/35758,False,True,False
https://github.com/keycloak/keycloak/issues/35457,False,True,True
https://github.com/keycloak/keycloak/issues/35402,True,True,
https://github.com/keycloak/keycloak/issues/34848,True,True,
https://github.com/keycloak/keycloak/issues/34313,True,True,
https://github.com/keycloak/keycloak/issues/34412,True,True,
https://github.com/keycloak/keycloak/issues/34050,True,True,
https://github.com/keycloak/keycloak/issues/33424,True,True,
https://github.com/keycloak/keycloak/issues/33439,True,True,
https://github.com/keycloak/keycloak/issues/32906,True,True,
https://github.com/keycloak/keycloak/issues/32388,True,True,
https://github.com/keycloak/keycloak/issues/32091,True,True,
https://github.com/keycloak/keycloak/issues/32428,False,False,
https://github.com/keycloak/keycloak/issues/31519,True,True,
https://github.com/keycloak/keycloak/issues/31701,True,True,
https://github.com/keycloak/keycloak/issues/31699,True,True,
https://github.com/keycloak/keycloak/issues/29818,True,True,
https://github.com/keycloak/keycloak/issues/29129,True,True,
https://github.com/keycloak/keycloak/issues/29319,True,True,
https://github.com/keycloak/keycloak/issues/29133,True,True,
https://github.com/keycloak/keycloak/issues/29130,True,True,
https://github.com/keycloak/keycloak/issues/28935,True,True,
https://github.com/keycloak/keycloak/issues/28672,True,True,
https://github.com/keycloak/keycloak/issues/14084,False,False,
https://github.com/quarkusio/quarkus/issues/46949,True,True,
https://github.com/quarkusio/quarkus/issues/44653,False,False,
https://github.com/quarkusio/quarkus/issues/41404,True,True,
https://github.com/quarkusio/quarkus/issues/39130,True,True,
https://github.com/quarkusio/quarkus/issues/38683,False,True,True
https://github.com/spring-projects/spring-ai/issues/4346,True,True,
https://github.com/spring-cloud/spring-cloud-gateway/issues/2756,True,True,
https://github.com/spring-projects/spring-batch/issues/4657,False,False,
https://github.com/spring-projects/spring-batch/issues/1694,True,True,
https://github.com/spring-projects/spring-batch/issues/4479,False,True,False
https://github.com/assertj/assertj/issues/3744,True,True,
https://github.com/openhab/openhab-addons/issues/16806,True,True,
https://github.com/openhab/openhab-addons/issues/15994,True,True,
https://github.com/datastax/jvector/issues/220,True,True,
https://github.com/networknt/light-4j/issues/2104,True,True,
https://github.com/spring-projects/spring-data-redis/issues/2970,True,True,
https://github.com/spring-projects/spring-data-mongodb/issues/4904,True,True,
https://github.com/spring-projects/spring-data-mongodb/issues/4846,True,True,
https://github.com/spring-projects/spring-data-mongodb/issues/4818,False,True,True
https://github.com/spring-cloud/spring-cloud-stream/issues/3101,True,True,
https://github.com/spring-cloud/spring-cloud-stream/issues/3076,True,True,
https://github.com/spring-cloud/spring-cloud-stream/issues/3004,True,True,
https://github.com/langgraph4j/langgraph4j/issues/151,False,False,
https://github.com/langgraph4j/langgraph4j/issues/106,True,True,
https://github.com/liquibase/liquibase/issues/6685,True,True,
https://github.com/liquibase/liquibase/issues/6178,True,True,
https://github.com/liquibase/liquibase/issues/5507,True,True,
https://github.com/spring-projects/spring-data-elasticsearch/issues/2876,False,False,
https://github.com/FasterXML/jackson-core/issues/1351,True,True,
https://github.com/dylibso/chicory/issues/695,False,True,False
https://github.com/dotCMS/core/issues/32958,True,True,
https://github.com/spring-projects/spring-data-neo4j/issues/2882,True,True,
https://github.com/spring-projects/spring-data-commons/issues/3126,False,True,False
https://github.com/spring-projects/spring-data-commons/issues/3066,True,True,
https://github.com/dcm4che/dcm4chee-arc-light/issues/4640,True,True,
https://github.com/dcm4che/dcm4chee-arc-light/issues/4640,True,True,
https://github.com/dcm4che/dcm4chee-arc-light/issues/4460,True,True,
https://github.com/rabbitmq/rabbitmq-perf-test/issues/703,True,True,
https://github.com/apache/uniffle/issues/2583,False,False,
https://github.com/apache/uniffle/issues/2576,False,True,False
https://github.com/apache/uniffle/issues/2496,True,True,
https://github.com/apache/uniffle/issues/2496,True,True,
https://github.com/apache/uniffle/issues/2454,False,False,
https://github.com/apache/uniffle/issues/2441,False,True,True
https://github.com/apache/uniffle/issues/493,True,True,
https://github.com/apache/uniffle/issues/1885,False,True,False
https://github.com/apache/uniffle/issues/1809,True,True,
https://github.com/apache/uniffle/issues/1543,False,True,True
https://github.com/ascopes/protobuf-maven-plugin/issues/600,False,False,
https://github.com/langchain4j/langchain4j/issues/2484,True,True,
https://github.com/langchain4j/langchain4j/issues/2053,False,True,True
https://github.com/langchain4j/langchain4j/issues/1447,True,True,
https://github.com/langchain4j/langchain4j/issues/715,True,True,
https://github.com/subclipse/subclipse/issues/173,True,True,
https://github.com/DominoKit/domino-ui/issues/1017,True,True,
https://github.com/spring-cloud/spring-cloud-sleuth/issues/2318,True,True,
https://github.com/kadai-io/kadai/issues/1063,True,True,
https://github.com/kadai-io/kadai/issues/786,True,True,
https://github.com/google/guava/issues/6087,True,True,
https://github.com/google/guava/issues/3873,True,True,
https://github.com/apache/dubbo/issues/9829,False,False,
https://github.com/apache/dubbo/issues/5892,True,True,
https://github.com/netty/netty/issues/13313,True,False,True
https://github.com/netty/netty/issues/13153,True,True,
https://github.com/netty/netty/issues/12812,False,False,
https://github.com/netty/netty/issues/12708,True,True,
https://github.com/netty/netty/issues/12171,True,True,
https://github.com/netty/netty/issues/11864,False,False,
https://github.com/keycloak/keycloak/issues/9871,True,True,
https://github.com/keycloak/keycloak/issues/25388,True,True,
https://github.com/keycloak/keycloak/issues/24202,True,True,
https://github.com/keycloak/keycloak/issues/24860,True,True,
https://github.com/keycloak/keycloak/issues/24295,True,True,
https://github.com/keycloak/keycloak/issues/21868,True,True,
https://github.com/keycloak/keycloak/issues/22057,False,False,
https://github.com/keycloak/keycloak/issues/21111,True,True,
https://github.com/keycloak/keycloak/issues/9871,True,True,
https://github.com/keycloak/keycloak/issues/21521,True,True,
https://github.com/keycloak/keycloak/issues/21109,True,True,
https://github.com/keycloak/keycloak/issues/20394,True,True,
https://github.com/keycloak/keycloak/issues/20613,True,True,
https://github.com/keycloak/keycloak/issues/20404,True,True,
https://github.com/keycloak/keycloak/issues/19193,True,True,
https://github.com/keycloak/keycloak/issues/19990,True,True,
https://github.com/keycloak/keycloak/issues/16224,True,True,
https://github.com/keycloak/keycloak/issues/13340,True,True,
https://github.com/keycloak/keycloak/issues/12280,False,False,
https://github.com/keycloak/keycloak/issues/15038,False,False,
https://github.com/keycloak/keycloak/issues/14384,True,True,
https://github.com/keycloak/keycloak/issues/14309,True,True,
https://github.com/keycloak/keycloak/issues/13303,True,True,
https://github.com/keycloak/keycloak/issues/12148,True,True,
https://github.com/keycloak/keycloak/issues/11764,True,True,
https://github.com/keycloak/keycloak/issues/9563,False,False,
https://github.com/keycloak/keycloak/issues/11263,True,True,
https://github.com/keycloak/keycloak/issues/11261,True,True,
https://github.com/keycloak/keycloak/issues/10411,True,True,
https://github.com/keycloak/keycloak/issues/10132,True,True,
https://github.com/keycloak/keycloak/issues/9648,False,False,
https://github.com/keycloak/keycloak/issues/9250,True,True,
https://github.com/keycloak/keycloak/issues/16091,False,True,True
https://github.com/keycloak/keycloak/issues/17678,False,False,
https://github.com/OpenAPITools/openapi-generator/issues/16490,True,False,True
https://github.com/FasterXML/jackson-databind/issues/3419,True,True,
https://github.com/spring-cloud/spring-cloud-kubernetes/issues/1225,True,True,
https://github.com/spring-projects/spring-data-jpa/issues/3039,True,True,
https://github.com/spring-projects/spring-data-jpa/issues/2860,True,True,
