commit_url,JETO_label,manual_label,issue_number,GPT_label,tie_breaking_label
https://github.com/quarkusio/quarkus/commit/e928dc5fb4077ef0bbc7dbfdd8406055f3ca793f,False,False,28863,False,
https://github.com/DataLinkDC/dinky/commit/d8b1a756ab784220d23297b5dccec34676398736,False,False,4175,False,
https://github.com/smallrye/smallrye-graphql/commit/21fbb19de4bafe2240247d08f9bd8de8f05800ba,True,True,728,True,True
https://github.com/smallrye/smallrye-graphql/commit/d2accb271f6f58bfda0614fb3d58ea333b6dbcc3,False,False,1,False,
https://github.com/apache/shardingsphere/commit/8e484e45e5bd903645af0df8422f964acf851f8b,False,False,2496,False,
https://github.com/spring-cloud/spring-cloud-sleuth/commit/19ae79be7dc322acf1da548c380ee3a28166cd60,False,False,840,False,
https://github.com/quarkusio/quarkus/commit/32e90e6205f8d459f0180bd9d64cd25a391545f1,False,False,10059,False,
https://github.com/networknt/light-4j/commit/9cb00f8f937a2c36f3a38aa3b2a91405f65b6d71,False,False,788,False,
https://github.com/apache/shardingsphere/commit/425742f9a1eed1e5b3b73c10d996df2800f6e27f,False,False,1803,False,
https://github.com/kubernetes-client/java/commit/2aabc1c9c78814e80a7d70aac459fcb479bdc2ab,False,False,94,False,
https://github.com/apache/mina-sshd/commit/ed92ebe890b7fa86bcdb17d93a0f296310eaff5c,False,False,517,False,
https://github.com/apache/shardingsphere/commit/9bd50861d17f10382e7c7391e7b4fd76f1ba050e,False,False,1395,True,True
https://github.com/alibaba/spring-ai-alibaba/commit/0e73e3ffc1d6aaf6a4895c276fb429c20e2c12bc,False,False,15,False,
https://github.com/fabric8io/kubernetes-client/commit/f9042b5e47165884354dc1b3b40b799e298f0301,False,False,1631,False,
https://github.com/cryptomator/cli/commit/10f53041cef4de2a8e9e528d2af4ee88351ee82a,False,False,48,False,
https://github.com/trinodb/trino/commit/3e985f342b595500ccbb8c66465e485602108cee,False,False,,False,
https://github.com/apache/dubbo/commit/830c460c0a2db7ad6d5caed9a0b7e2890952da77,False,False,12202,False,
https://github.com/erlang/erlide_eclipse/commit/a4118ed4e4081233dc20fee7f905ea2205387ec6,False,False,274,False,
https://github.com/quarkusio/quarkus/commit/64c442d39be3db56b9eca8ccb8d28f51a7ec184a,False,False,32291,False,
https://github.com/fabric8io/docker-maven-plugin/commit/b577db3301029e39427b3f2c2144e4174be2d08f,False,False,469,False,
https://github.com/quarkusio/quarkus/commit/f100899cc3e2dbfdf60e933e3bfd7c5db5afafdd,False,False,2498,False,
