issue_url,Label
https://github.com/quarkusio/quarkus/issues/23822,No
https://github.com/quarkusio/quarkus/issues/9188,No
https://github.com/oracle/opengrok/issues/3442,No
https://github.com/oracle/opengrok/issues/1095,No
https://github.com/gluonhq/rich-text-area/issues/414,No
https://github.com/rabbitmq/rabbitmq-stream-java-client/issues/17,No
https://github.com/zowe/zowe-client-java-sdk/issues/148,Yes
https://github.com/flyway/flyway/issues/3280,Yes
https://github.com/flyway/flyway/issues/3229,Yes
https://github.com/AsyncHttpClient/async-http-client/issues/1632,Yes
https://github.com/AsyncHttpClient/async-http-client/issues/1278,Yes
https://github.com/AsyncHttpClient/async-http-client/issues/894,No
https://github.com/spring-projects/spring-data-mongodb/issues/2225,Yes
https://github.com/spring-projects/spring-data-mongodb/issues/1536,No
https://github.com/spring-projects/spring-data-elasticsearch/issues/2726,Yes
https://github.com/spring-projects/spring-data-elasticsearch/issues/2061,No
https://github.com/dockstore/dockstore/issues/2442,No
https://github.com/Netcentric/accesscontroltool/issues/762,No
https://github.com/logfellow/logstash-logback-encoder/issues/353,Yes
https://github.com/groovy/GMavenPlus/issues/162,No
https://github.com/DataLinkDC/dinky/issues/1279,No
https://github.com/DataLinkDC/dinky/issues/1210,No
https://github.com/DataLinkDC/dinky/issues/564,No
https://github.com/DataLinkDC/dinky/issues/397,No
https://github.com/apache/royale-compiler/issues/36,No
https://github.com/spacious-team/investbook/issues/294,No
https://github.com/cloudsimplus/cloudsimplus/issues/284,No
https://github.com/VoxelGamesLib/VoxelGamesLibv2/issues/175,Yes
https://github.com/timols/java-gitlab-api/issues/59,No
https://github.com/alibaba/nacos/issues/11310,Yes
https://github.com/keycloak/keycloak/issues/10935,Yes
https://github.com/casid/jte/issues/78,Yes
https://github.com/hyperxpro/Brotli4j/issues/123,No
