issue_url,Label
https://github.com/keycloak/keycloak/issues/33953,Yes
https://github.com/keycloak/keycloak/issues/35758,No
https://github.com/keycloak/keycloak/issues/35457,Yes
https://github.com/quarkusio/quarkus/issues/38683,Yes
https://github.com/spring-projects/spring-batch/issues/4479,No
https://github.com/spring-projects/spring-data-mongodb/issues/4818,Yes
https://github.com/dylibso/chicory/issues/695,No
https://github.com/spring-projects/spring-data-commons/issues/3126,No
https://github.com/apache/uniffle/issues/2576,No
https://github.com/apache/uniffle/issues/2441,Yes
https://github.com/apache/uniffle/issues/1885,No
https://github.com/apache/uniffle/issues/1543,Yes
https://github.com/langchain4j/langchain4j/issues/2053,Yes
https://github.com/netty/netty/issues/13313,Yes
https://github.com/keycloak/keycloak/issues/16091,Yes
https://github.com/OpenAPITools/openapi-generator/issues/16490,Yes
https://github.com/spring-projects/spring-data-neo4j/issues/2750,Yes
https://github.com/spring-projects/spring-data-neo4j/issues/2182,Yes
https://github.com/spring-projects/spring-data-neo4j/issues/1460,No
https://github.com/smallrye/smallrye-graphql/issues/728,Yes
https://github.com/philterd/phileas/issues/112,No
https://github.com/philterd/phileas/issues/112,No
https://github.com/philterd/phileas/issues/112,No
https://github.com/spring-io/spring-javaformat/issues/319,No
https://github.com/OpenLiberty/ci.maven/issues/1354,Yes
https://github.com/oracle/opengrok/issues/3509,No
https://github.com/cloudsimplus/cloudsimplus/issues/323,No
https://github.com/apache/curator/issues/585,No
https://github.com/apache/incubator-baremaps/issues/98,No
https://github.com/spring-projects-experimental/spring-boot-thin-launcher/issues/22,Yes
https://github.com/keycloak/keycloak/issues/10266,Yes
https://github.com/netty/netty/issues/8122,Yes
https://github.com/keycloak/keycloak/issues/12381,Yes
https://github.com/apache/shardingsphere/issues/1395,Yes
https://github.com/jstachio/jstachio/issues/296,Yes
https://github.com/sundrio/sundrio/issues/415,Yes
https://github.com/urlaubsverwaltung/urlaubsverwaltung/issues/4693,Yes
